experiment_domain,trial_id,repetition,random_seed,injected_failure_type,injected_severity,expected_root_cause,failure_detected,detected_failure_category,detection_correct,predicted_root_cause,classification_correct,classification_confidence,remediation_action,remediation_executed,human_approval_required,cycle_status,recovery_verified,input_record_count,output_record_count,quarantined_record_count,runtime_milliseconds,original_size_bytes,observed_size_bytes,regenerated_size_bytes,checksum_restored
dataframe,source_failure-medium-r007-s11049,7,11049,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,6.0664,,,,
dataframe,source_failure-medium-r008-s11050,8,11050,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.7128,,,,
dataframe,source_failure-medium-r009-s11051,9,11051,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,6.6353,,,,
dataframe,source_failure-medium-r010-s11052,10,11052,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,6.2594,,,,
dataframe,source_failure-medium-r011-s11053,11,11053,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.5739,,,,
dataframe,source_failure-medium-r012-s11054,12,11054,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.5412,,,,
dataframe,source_failure-medium-r013-s11055,13,11055,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.7799,,,,
dataframe,source_failure-medium-r014-s11056,14,11056,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.6577,,,,
dataframe,source_failure-medium-r015-s11057,15,11057,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.7693,,,,
dataframe,source_failure-medium-r016-s11058,16,11058,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.5305,,,,
dataframe,source_failure-medium-r017-s11059,17,11059,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.5825,,,,
dataframe,source_failure-medium-r018-s11060,18,11060,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.5443,,,,
dataframe,source_failure-medium-r019-s11061,19,11061,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.7677,,,,
dataframe,source_failure-medium-r020-s11062,20,11062,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.5911,,,,
